SITE rem_D rem_I a95 Dipdir Dip
AG01 314.9 70.5 11.2 344 68
AG02 329 32.9 4.5 344 0
AM01 335.5 31.3 4.9 4 17
AM02 335 2 3.2 175 60
AM03 342.7 15 3.1 170 53
AM04 334.5 36.6 4.7 191 22
AM05 44.2 77.6 6.9 334 55
AM06 327.1 12.4 3.8 134 32
AM07 331.7 47.7 6.3 318 26
AM08 326.7 31.7 14.3 150 52
AM09 333.2 49.3 7 315 13
AM10 329.8 38.6 8.6 288 34
AM11 321.9 25.4 4.2 193 53
AM12 313.8 48.6 7.6 338 24
AM13 330.7 20.8 3 148 34
AM14 301.1 65.4 5.6 353 46
AM15 343 48.6 7.9 285 22
AM16 330.1 19.7 5.7 155 36
DP01 194.8 62.5 6.4 355 71
DP02 253.3 70.2 4.3 350 60
DP03 314.7 60.3 5 1 25
DP04 320.5 52 6.8 355 14
DP05 325 45.1 5.6 293 87
DP06 328 48.4 6.6 303 59
DP07 90.7 79.2 1.6 325 70
DP08 345.1 24.6 8.7 138 82
DP09 332.1 16.4 4.1 124 78
DP10 321.9 31.2 5.7 333 71
DP11 323.4 36.1 3.7 305 51
DP12 343.1 33.4 7.9 60 25
IC02 325.6 -2.7 4.6 178 42
IC03 85 87.4 7.9 338 66
IC44 326.9 24.1 18.4 115 57
IC45 354.2 51.2 8.1 90 25
IC46 31.6 65.8 19.1 324 49
IC47 323.1 48.7 13.2 342 85
IC48 328.4 2.9 5.5 161 51
IC50 334.6 30.4 3.1 128 10
IC51 337.9 25.3 4.4 139 18
OU01 319.8 42.8 7.4 228 30
OU02 11.9 45.1 5.9 298 39
OU03 351.6 35.8 9.6 314 64
OU04 286.5 22.3 4 129 110
OU05 297.6 35.3 3.7 223 40
OU06 337 26.5 8.3 188 15
OU07 333 13.2 8.5 160 80
SK01 333.4 33.4 6.7 103 61
SK02 356.8 52.3 9.6 336 60
SK03 349.8 66.2 8.1 339 75
SK04 313.2 40 3.7 15 20
SK05 315.9 56.8 6.4 333 48
SK06 325.9 -21.2 6.2 160 72
SK07 329.5 27.3 7.4 160 14
SK08 322.2 -4.6 5 158 49
SK09 332.1 25 3.3 180.1 16
SK10 338.4 56.3 4.7 320 30
SK11 165.7 73.7 4.3 338 74
SK12 333.4 33.4 2.9 20 0
SK13 296.5 66.7 5.7 13 62
SK14 333.4 12.6 4.7 180.1 64
SK15 335.9 21.1 5.5 202 41
SK16 337.8 54 2.7 318 18
SK17 330.6 -12 4.8 143 55
SK18 306.8 34.1 4.2 171 55
SK19 320.6 26 4.5 177 28
